element,sub_element,construction_type,unit_quantity_method,status_in_areafy
2 Floors and stairs,2.3 Floors - screed & finish,2.3.3 Hardwood strip / wood block / sprung floor,GIFA,OK
2 Floors and stairs,2.3 Floors - screed & finish,2.3.4 Raised access floor,GIFA,OK
2 Floors and stairs,2.3 Floors - screed & finish,2.3.5 Vinyl / rubber / cork in tiles / sheet,GIFA,OK
2 Floors and stairs,2.3 Floors - screed & finish,2.3.6 Ceramic tiles / terrazzo,GIFA,OK
2 Floors and stairs,2.3 Floors - screed & finish,2.3.7 Carpet,GIFA,OK
2 Floors and stairs,2.4 Staircases - structure,2.4.1 Concrete,GIFA,OK
2 Floors and stairs,2.4 Staircases - structure,2.4.2 Timber,GIFA,OK
2 Floors and stairs,2.4 Staircases - structure,2.4.3 Metal,GIFA,OK
2 Floors and stairs,2.5 Staircases - Balustrades,2.5.1 Timber,GIFA,OK
2 Floors and stairs,2.5 Staircases - Balustrades,2.5.2 Metal; painted,GIFA,OK
2 Floors and stairs,2.5 Staircases - Balustrades,2.5.3 Metal; powder coated / self finished,GIFA,OK
2 Floors and stairs,2.6 Staircases – Treads & risers,2.6.1 Timber,GIFA,OK
2 Floors and stairs,2.6 Staircases – Treads & risers,2.6.2 Vinyl / rubber / cork / carpet in tiles / sheet,GIFA,OK
2 Floors and stairs,2.6 Staircases – Treads & risers,2.6.3 Ceramic tiles / terrazzo,GIFA,OK
3 Ceilings,3.1 Generally,3.1.1 Fair faced concrete,GIFA,OK
3 Ceilings,3.1 Generally,3.1.2 Plaster / render / plasterboard lining / timber lining,GIFA,OK
3 Ceilings,3.1 Generally,3.1.3 No ceiling / exposed structure,GIFA,OK
3 Ceilings,3.1 Generally,3.1.4 Fibreboard / acoustic tile lining,GIFA,OK
3 Ceilings,3.1 Generally,3.1.5 Suspended ceiling; timber boarding / panels,GIFA,OK
3 Ceilings,3.1 Generally,3.1.6 Suspended ceiling; fibreboard / acoustic tiles,GIFA,OK
3 Ceilings,3.1 Generally,3.1.7 Suspended ceiling; metal tiles,GIFA,OK
3 Ceilings,3.1 Generally,3.1.8 Suspended rafts below fair faced / plaster soffit,GIFA,OK
"4 External walls, windows and doors",4.1 Walls - structure,4.1.1 In situ concrete,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.1 Walls - structure,4.1.2 Precast concrete,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.1 Walls - structure,4.1.3 Brick / block,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.1 Walls - structure,4.1.4 Stone,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.1 Walls - structure,4.1.5 Concrete / brick / block with rainscreen cladding,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.1 Walls - structure,4.1.6 Timber framed curtain walling,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.1 Walls - structure,4.1.7 Metal framed curtain walling,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.1 Walls - structure,4.1.8 Frameless glazing,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.2 Walls - external finishes,4.2.1 Concrete,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.2 Walls - external finishes,4.2.2 Brick / stone,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.2 Walls - external finishes,4.2.3 Render,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.2 Walls - external finishes,4.2.4 Natural slate hanging,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.2 Walls - external finishes,4.2.5 Tile hanging,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.2 Walls - external finishes,4.2.6 Timber cladding,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.2 Walls - external finishes,4.2.7 No wall finish / exposed structure,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.2 Walls - external finishes,4.2.8 Profiled fibre cement sheet,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.2 Walls - external finishes,4.2.9 Profiled fibreglass / GRP / plastic / composite sheet / profiled metal sheet,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.2 Walls - external finishes,4.2.10 Flat metal sheet / panels,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.2 Walls - external finishes,4.2.11 Flat fibreglass / GRP / plastic / composite in sheet / panels,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.2 Walls - external finishes,4.2.12 Ceramic tiles,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.3 Walls – internal finishes,4.3.1 Concrete / brick / block / stone,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.3 Walls – internal finishes,4.3.2 Plaster / render / plasterboard lining,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.3 Walls – internal finishes,4.3.3 Fibreboard / acoustic lining,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.3 Walls – internal finishes,4.3.4 Timber lining,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.3 Walls – internal finishes,4.3.5 Ceramic tiles,"Perim x height, less % windows and doors",OK
"4 External walls, windows and doors",4.4 Windows and doors,4.4.1 Timber,Perim x height x % windows and doors,not
"4 External walls, windows and doors",4.4 Windows and doors,4.4.2 Metal,Perim x height x % windows and doors,not
"4 External walls, windows and doors",4.4 Windows and doors,4.4.3 Plastic,Perim x height x % windows and doors,not
5 Internal walls and doors,5.1 Walls and partitions - structure,5.1.1 Brick / block / concrete,GIFA,OK
5 Internal walls and doors,5.1 Walls and partitions - structure,5.1.2 Timber / metal stud,GIFA,OK
5 Internal walls and doors,5.1 Walls and partitions - structure,5.1.3 Glazed screen,GIFA,OK
5 Internal walls and doors,5.1 Walls and partitions - structure,5.1.4 Sliding / folding partition,GIFA,OK
5 Internal walls and doors,5.2 Walls and partitions finishes,5.2.1 Concrete / brick / block / stone,GIFA,OK
5 Internal walls and doors,5.2 Walls and partitions finishes,5.2.2 Plaster / render / plasterboard lining,GIFA,OK
5 Internal walls and doors,5.2 Walls and partitions finishes,5.2.3 Fibreboard / acoustic lining,GIFA,OK
5 Internal walls and doors,5.2 Walls and partitions finishes,5.2.4 Timber lining,GIFA,OK
5 Internal walls and doors,5.2 Walls and partitions finishes,5.2.5 Ceramic tiles,GIFA,OK
5 Internal walls and doors,5.3 Doors,5.3.1 Timber,GIFA,OK
5 Internal walls and doors,5.3 Doors,5.3.2 Metal / plastic,GIFA,OK
6 Sanitary Services,6.1 Generally,6.1.1 Generally,GIFA,OK
7 Mechanical Services,7.1 Heat source & equipment,7.1.1 Generally,GIFA,OK
7 Mechanical Services,"7.2 Heating distribution, emitters & controls",7.2.1 Generally,GIFA,OK
7 Mechanical Services,7.3 Hot & Cold Water System,7.3.1 Generally including heat source / calorifiers for heating the water,GIFA,OK
7 Mechanical Services,7.4 Gas distribution,7.4.1 Generally,GIFA,OK
7 Mechanical Services,7.5 Mechanical Ventilation / air conditioning,7.5.1 No mechanical ventilation or air conditioning,GIFA,OK
7 Mechanical Services,7.5 Mechanical Ventilation / air conditioning,7.5.2 Ventilation,GIFA,OK
7 Mechanical Services,7.5 Mechanical Ventilation / air conditioning,7.5.3 Air conditioning,GIFA,OK
8 Electrical Services,8.1 Control Gear,8.1.1 Generally,GIFA,OK
8 Electrical Services,8.2 Power,8.2.1 Generally,GIFA,OK
8 Electrical Services,8.3 Lighting System,8.3.1 Generally,GIFA,OK
8 Electrical Services,8.4 Alarms,8.4.1 Generally,GIFA,OK
8 Electrical Services,8.5 Communications and IT infrastructure,8.5.1 Generally,GIFA,OK
8 Electrical Services,8.6 Lifts and Hoists,8.6.1 Generally,Count,not
9 Re-decorations,9.1 External - walls,9.1.1 Unpainted,GIFA,OK
9 Re-decorations,9.1 External - walls,9.1.2 Painted,GIFA,OK
9 Re-decorations,"9.2 External - windows, doors etc.",9.2.1 Timber,GIFA,OK
9 Re-decorations,"9.2 External - windows, doors etc.",9.2.2 Metal / plastic; unpainted,GIFA,OK
9 Re-decorations,"9.2 External - windows, doors etc.",9.2.3 Metal; painted,GIFA,OK
9 Re-decorations,9.3 Internal - walls,9.3.1 Unpainted,GIFA,OK
9 Re-decorations,9.3 Internal - walls,9.3.2 Painted,GIFA,OK
9 Re-decorations,9.4 Internal - ceilings,9.4.1 Unpainted,GIFA,OK
9 Re-decorations,9.4 Internal - ceilings,9.4.2 Painted,GIFA,OK
9 Re-decorations,"9.5 Internal - windows, doors etc",9.5.1 Generally,GIFA,OK
10 Fixed Furniture and Fittings,"10.1 Teaching - science, technology",10.1.1 Generally,GIFA,OK
10 Fixed Furniture and Fittings,10.2.1 Teaching - other,10.2.1 Generally,GIFA,OK
10 Fixed Furniture and Fittings,10.3 Non-teaching - catering kitchen,10.3.1 Generally,GIFA,OK
10 Fixed Furniture and Fittings,10.4 Non-teaching - other,10.4.1 Generally,GIFA,OK
11 External Areas,11.1 Roads and car parks,11.1.1 Tarmac,Site Area - GF GIFA,not
11 External Areas,11.1 Roads and car parks,11.1.2 In-situ concrete,Site Area - GF GIFA,not
11 External Areas,11.1 Roads and car parks,11.1.3 Slabs / blocks,Site Area - GF GIFA,not
11 External Areas,"11.2 Paths, pedestrian paved areas, play areas",11.2.1 Tarmac,Site Area - GF GIFA,not
11 External Areas,"11.2 Paths, pedestrian paved areas, play areas",11.2.2 In-situ concrete paving,Site Area - GF GIFA,not
11 External Areas,"11.2 Paths, pedestrian paved areas, play areas",11.2.3 Slab/block paving,Site Area - GF GIFA,not
11 External Areas,11.3 Soft Landscaping,11.3.1 Generally,Site Area - GF GIFA,not
11 External Areas,11.4 Mains Services,11.4.1 Generally,Site Area - GF GIFA,not
11 External Areas,11.5 Boundary walls and fences,11.5.1 Brick / block / concrete / stone,Boundary length,not
11 External Areas,11.5 Boundary walls and fences,11.5.2 Timber / metal,Boundary length,not
11 External Areas,11.5 Boundary walls and fences,11.5.3 Chainlink,Boundary length,not
11 External Areas,11.5 Boundary walls and fences,11.5.4 No boundary / others' boundary,Boundary length,not
11 External Areas,"11.6 Other walls, fences and barriers including around tennis courts, 'MUGAS' etc",11.6.1 Generally,Site Area - GF GIFA,not
11 External Areas,11.7 Swimming Pools - Structure,11.7.1 Generally,Swimming pool count,not
11 External Areas,11.8 Swimming Pools - Plant,11.8.1 Generally,Swimming pool count,not
11 External Areas,11.9 Drainage - Treatment Plant,11.9.1 Generally,GIFA,OK
11 External Areas,11.10 Drainage - Other,11.10.1 Generally,GIFA,OK
12 Playing Fields / equipment,12.1 Generally,12.1.1 Tarmac,Playing field area,OK
12 Playing Fields / equipment,12.1 Generally,"12.1.2 All Weather, artificial and specialist",Playing field area,OK
12 Playing Fields / equipment,12.1 Generally,12.1.3 Grass,Playing field area,OK
